City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,aiken,33.5835,-81.5998,10.18,55,0,1.54,US,1708296741
216,east london,-33.0153,27.9116,21.18,87,82,4.91,ZA,1708296743
217,el calafate,-50.3408,-72.2768,15.0,65,77,5.54,AR,1708296744
218,aykhal,66.0,111.5,-22.19,97,100,3.55,RU,1708296745
219,moyynkum,44.2914,72.9469,-13.14,63,96,9.61,KZ,1708296746
220,mount pearl,47.5166,-52.7813,-4.81,91,40,12.35,CA,1708296748
221,vilyuchinsk,52.9306,158.4028,-11.85,64,98,3.37,RU,1708296750
222,vorgashor,67.5833,63.95,-11.75,92,100,8.05,RU,1708296752
223,timbuktu,16.7735,-3.0074,23.87,10,3,4.74,ML,1708296753
224,gaspe,48.8334,-64.4819,-7.05,49,20,6.69,CA,1708296754
225,minot air force base,48.4209,-101.3391,4.05,45,0,4.12,US,1708296756
226,nola,40.922,14.5329,12.57,91,28,0.88,IT,1708296758
227,bathsheba,13.2167,-59.5167,27.34,78,20,7.72,BB,1708296760
228,iskateley,67.6803,53.1512,-12.21,94,99,5.81,RU,1708296763
229,nadym,65.5333,72.5167,-15.91,85,100,12.12,RU,1708296764
230,afaahiti,-17.75,-149.2833,29.93,78,100,7.35,PF,1708296766
231,araria,26.15,87.5167,14.31,35,3,0.35,IN,1708296768
232,armyansk,46.1092,33.6921,4.14,89,100,3.53,UA,1708296770
233,tra vinh,9.9347,106.3453,23.69,92,1,2.67,VN,1708296771
234,namibe,-15.1961,12.1522,26.82,74,100,0.51,AO,1708296773
235,san juan nepomuceno,9.9516,-75.082,29.17,70,68,6.4,CO,1708296775
236,castillos,-34.1667,-53.8333,22.55,94,59,4.69,UY,1708296776
237,sangola,17.4333,75.2,24.21,29,18,1.15,IN,1708296778
238,huangnihe,43.5583,128.0239,-7.22,82,100,7.23,CN,1708296780
239,ternate,0.8,127.4,26.72,83,42,2.32,ID,1708296765
240,barcelos,41.5388,-8.6151,14.95,94,33,1.57,PT,1708296783
241,floriano,-6.7669,-43.0225,28.46,70,98,1.37,BR,1708296784
242,puerto baquerizo moreno,-0.9,-89.6,28.55,79,40,3.09,EC,1708296785
243,kapa'a,22.0752,-159.319,24.99,50,0,9.77,US,1708296786
244,pursat,12.3333,103.6667,23.42,75,70,0.98,KH,1708296787
245,vilyuysk,63.7553,121.6247,-29.16,97,100,2.34,RU,1708296789
246,kayangel,8.0823,134.7173,27.26,80,100,8.27,PW,1708296790
247,leninskoye,41.7589,69.3864,-3.02,97,100,2.06,KZ,1708296791
248,preobrazheniye,42.9019,133.9064,3.55,98,99,1.29,RU,1708296792
249,tazovsky,67.4667,78.7,-17.68,79,100,11.61,RU,1708296793
250,ghat,24.9647,10.1728,17.68,16,10,2.36,LY,1708296794
251,kirakira,-10.4544,161.9205,29.61,76,65,3.21,SB,1708296795
252,mahdia,35.5047,11.0622,12.97,79,1,0.08,TN,1708296797
253,vorkuta,67.5,64.0,-11.61,93,100,7.7,RU,1708296798
254,san fernando,15.0286,120.6898,23.85,86,16,2.06,PH,1708296799
255,hithadhoo,-0.6,73.0833,28.38,76,97,5.01,MV,1708296801
256,aswan,24.0934,32.907,14.61,33,0,2.06,EG,1708296802
257,constantia,44.1833,28.65,6.5,72,99,4.16,RO,1708296805
258,olinala,17.8333,-98.85,25.24,27,0,2.33,MX,1708296806
259,berezovyy,51.6667,135.7,-17.78,95,100,1.53,RU,1708296807
260,chiroqchi,39.0336,66.5722,-1.71,83,100,2.75,UZ,1708296808
261,arraial do cabo,-22.9661,-42.0278,25.06,87,70,1.74,BR,1708296594
262,kapuskasing,49.4169,-82.4331,-13.95,66,75,8.23,CA,1708296810
263,kourou,5.1552,-52.6478,27.03,76,45,3.86,GF,1708296812
264,tela,15.7833,-87.45,22.97,100,100,1.03,HN,1708296813
265,half moon bay,37.4636,-122.4286,19.34,78,75,12.86,US,1708296814
266,luganville,-15.5333,167.1667,29.97,73,50,1.57,VU,1708296815
267,kodiak,57.79,-152.4072,5.73,93,100,2.06,US,1708296817
268,yaren,-0.5472,166.916,28.77,79,98,4.35,NR,1708296818
269,abdulino,53.7,53.6667,-12.06,78,100,7.15,RU,1708296819
270,mersa matruh,31.3525,27.2453,14.11,77,40,3.09,EG,1708296820
271,coahuayana de hidalgo,18.7,-103.6583,28.16,51,0,2.5,MX,1708296821
272,itoman,26.1247,127.6694,22.27,88,75,6.69,JP,1708296822
273,tari,12.4086,4.4914,25.52,13,100,4.3,NG,1708296823
274,ribeira brava,32.65,-17.0667,19.45,54,7,5.59,PT,1708296824
275,fray luis beltran,-39.3167,-65.7667,29.25,14,48,2.58,AR,1708296826
276,carbonear,47.7332,-53.2148,-3.82,79,34,12.86,CA,1708296828
277,caribou,46.8606,-68.012,-6.76,53,0,3.6,US,1708296829
278,rovnoye,50.7765,46.0509,-4.69,85,100,6.77,RU,1708296830
279,cafayate,-26.073,-65.9761,21.39,86,96,1.8,AR,1708296831
280,labrador city,52.9463,-66.9114,-19.05,62,75,4.12,CA,1708296833
281,mil'kovo,55.6078,37.7956,-3.73,95,82,3.19,RU,1708296834
282,taoudenni,22.6783,-3.9836,19.91,31,0,6.62,ML,1708296835
283,essaouira,31.5125,-9.77,15.72,82,3,1.54,MA,1708296836
284,xiahu,26.6106,119.9483,13.96,95,99,2.38,CN,1708296837
285,presidencia de la plaza,-27.0015,-59.8424,29.36,46,27,3.95,AR,1708296838
286,buique,-8.6231,-37.1558,20.71,82,85,1.46,BR,1708296736
287,naifaru,5.4444,73.3657,27.86,74,42,6.04,MV,1708296840
288,bush,29.1482,31.1273,13.02,72,3,3.29,EG,1708296841
289,mushie,-3.0167,16.9,23.21,97,100,0.21,CD,1708296843
290,kristinestad,62.2743,21.376,-3.28,87,100,4.93,FI,1708296844
291,fale old settlement,-9.3852,-171.2468,28.74,81,94,5.97,TK,1708296845
292,berdigestyakh,62.0989,126.6992,-39.62,100,100,1.11,RU,1708296846
293,port pirie,-33.1833,138.0167,28.84,24,82,2.68,AU,1708296852
294,belyy yar,53.6039,91.3903,-28.06,76,0,2.0,RU,1708296853
295,lompoc,34.6391,-120.4579,18.25,83,100,9.26,US,1708296854
296,safotu,-13.4513,-172.4018,28.48,88,100,8.95,WS,1708296855
297,boca do acre,-8.7522,-67.3978,25.95,94,100,0.48,BR,1708296856
298,willstatt,48.5333,7.8833,9.96,89,100,5.14,DE,1708296857
299,kasaragod,12.5,75.0,23.15,94,85,2.52,IN,1708296700
300,ipueiras,-7.0333,-40.45,22.76,89,56,2.1,BR,1708296859
301,la ronge,55.1001,-105.2842,-11.86,52,40,5.14,CA,1708296860
302,thinadhoo,0.5333,72.9333,27.86,81,98,6.18,MV,1708296861
303,kharkhorin,47.1975,102.8238,-32.36,97,20,1.18,MN,1708296862
304,aibak,36.2647,68.0155,0.22,99,100,2.05,AF,1708296863
